Time,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/26/2020 9:15,27.6,1,19.67,1,762,1,7.66,1,2.01,1,18.91,1
6/26/2020 9:30,27.6,1,18.84,1,762,1,7.66,1,2.03,1,18.02,1
6/26/2020 9:45,27.6,1,18.99,1,762,1,7.66,1,2.12,1,20.1,1
6/26/2020 10:00,27.7,1,20.04,1,762,1,7.67,1,2.2,1,19.07,1
6/26/2020 10:15,27.7,1,18.97,1,762,1,7.67,1,2.27,1,20.17,1
6/26/2020 10:30,27.8,1,18.45,1,762,1,7.67,1,2.27,1,16.28,1
6/26/2020 10:45,27.8,1,19.5,1,762,1,7.67,1,2.28,1,17.92,1
6/26/2020 11:00,27.8,1,19.53,1,763,1,7.67,1,2.23,1,16.59,1
6/26/2020 11:15,27.8,1,19.79,1,763,1,7.67,1,2.17,1,19,1
6/26/2020 11:30,27.9,1,19.35,1,763,1,7.67,1,2.2,1,17.65,1
6/26/2020 11:45,27.9,1,19.04,1,763,1,7.67,1,2.13,1,17.64,1
6/26/2020 12:00,27.9,1,18.79,1,763,1,7.67,1,2.09,1,17.63,1
6/26/2020 12:15,27.9,1,21.61,1,763,1,7.67,1,2.07,1,17.65,1
6/26/2020 12:30,27.9,1,19.47,1,763,1,7.67,1,2.09,1,17.71,1
6/26/2020 12:45,27.9,1,20.39,1,764,1,7.67,1,2.11,1,15.22,1
6/26/2020 13:00,27.9,1,19.98,1,764,1,7.67,1,2.07,1,16.6,1
6/26/2020 13:15,27.9,1,20.35,1,764,1,7.67,1,2.06,1,16.64,1
6/26/2020 13:30,28,1,19.88,1,764,1,7.67,1,2.04,1,15.49,1
6/26/2020 13:45,28,1,19.25,1,764,1,7.67,1,2.05,1,13.75,1
6/26/2020 14:00,28,1,19.2,1,764,1,7.67,1,2.07,1,14.52,1
6/26/2020 14:15,28,1,19.28,1,764,1,7.68,1,2.14,1,15.83,1
6/26/2020 14:30,28,1,19.9,1,764,1,7.68,1,2.11,1,15.85,1
6/26/2020 14:45,28.1,1,20.09,1,764,1,7.68,1,2.19,1,16.18,1
6/26/2020 15:00,28.1,1,18.74,1,765,1,7.68,1,2.15,1,14.69,1
6/26/2020 15:15,28.1,1,21.11,1,765,1,7.69,1,2.25,1,16.25,1
6/26/2020 15:30,28.1,1,20.81,1,764,1,7.69,1,2.29,1,16.76,1
6/26/2020 15:45,28.1,1,19.58,1,765,1,7.69,1,2.28,1,15.91,1
6/26/2020 16:00,28,1,21.03,1,765,1,7.68,1,2,1,15.95,1
6/26/2020 16:15,28.2,1,26.91,1,764,1,7.71,1,2.46,1,16.28,1
